LAPORAN REALISASI SP2D TA 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Per Program; Kegiatan; Output; SubOutput; Komponen; SubKomponen; Akun; Item;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Periode Februari 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Kementerian	:";;;;;;;;;;;;;;054;BADAN PUSAT STATISTIK;;;;;;;;;;;;;;;;;;;
"Unit Organisasi	";;;;;;;;;;;;;;01;BADAN PUSAT STATISTIK;;;;;;;;;;;;;;;;;;;
"Satuan Kerja   	:";;;;;;;;;;;;;;018839;BADAN PUSAT STATISTIK KAB. MAJALENGKA;;;;;;;;;;;;;Hal 1 dari;;; 44;;;
Uraian;;;;;;;;;;;;;;;;;Pagu Revisi;;Lock Pagu;;Realisasi TA 2026;;;;;;;;;SISA ANGGARAN;;;;
;;;;;;;;;;;;;;;;;;;;;Periode Lalu;;Periode Ini;s.d. Periode ;;;%;;;;;;;
JUMLAH SELURUHNYA;;;;;;;;;;;;;;;;14.317.329.000;;4.441.113.000;;;;388.200.021;500.919.458;889.119.479;;;;6,21 %;8.987.096.521;;;;;
;GG;;Program Penyediaan dan Pelayanan Informasi Statistik;;;;;;;;;;;;;7.189.161.000;;4.441.113.000;;;;70.096.000;146.151.044;;216.247.044;;;3,01 %;;2.531.800.956;;;;
;GG.2896;;;;;;;Pengembangan dan Analisis Statistik;;;;;;;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;;BMA;;;;Data dan Informasi Publik;;;;;;;;;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;;BMA.004;;;;;;;;PUBLIKASI/LAPORAN ANALISIS DAN PENGEMBANGAN STATISTIK;;;;;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;;;;052;;;;;PENGUMPULAN DATA;;;;;;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;;;;;052.0A;;;;;;TANPA SUB KOMPONEN;;;;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;;;;;;;524113;;;;;Belanja Perjalanan Dinas Dalam Kota;;;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;;;;;;;;;;;;;000001. transport lokal;;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;GG.2897;;;;;;;Pelayanan dan Pengembangan Diseminasi Informasi Statistik;;;;;;;;3.040.000;;0;;;;0;0;;0;;;0,00 %;;3.040.000;;;;
;;BMA;;;;Data dan Informasi Publik;;;;;;;;;;510.000;;0;;;;0;0;;0;;;0,00 %;;510.000;;;;
;;BMA.004;;;;;;;;LAPORAN DISEMINASI DAN METADATA STATISTIK;;;;;;510.000;;0;;;;0;0;;0;;;0,00 %;;510.000;;;;
